plasmid	type
NZ_CP043273.1	community_1_subcommunity_85
NZ_CP044404.1	community_1_subcommunity_86
NZ_CP047577.1	community_1_subcommunity_87
NZ_CP047660.1	community_1_subcommunity_88
NZ_CP048822.1	community_1_subcommunity_89
NZ_CP049202.1	community_1_subcommunity_90
NZ_CP051220.1	community_1_subcommunity_91
NZ_CP051696.1	community_1_subcommunity_92
NZ_CP051699.1	community_1_subcommunity_93
NZ_CP051728.1	community_1_subcommunity_94
NZ_CP053732.1	community_1_subcommunity_95
NZ_CP054228.1	community_1_subcommunity_96
NZ_CP057221.1	community_1_subcommunity_97
NZ_CP057230.1	community_1_subcommunity_98
NZ_CP061915.1	community_1_subcommunity_99
NZ_CP062205.1	community_1_subcommunity_100
NZ_CP062813.1	community_1_subcommunity_101
NZ_CP062874.1	community_1_subcommunity_102
NZ_CP063337.1	community_1_subcommunity_103
NZ_CP069660.1	community_1_subcommunity_104
NZ_CP069883.1	community_1_subcommunity_105
NZ_CP070011.1	community_1_subcommunity_106
NZ_CP070072.1	community_1_subcommunity_107
NZ_CP070073.1	community_1_subcommunity_108
NZ_CP070078.1	community_1_subcommunity_109
NZ_CP070171.1	community_1_subcommunity_110
NZ_CP070921.1	community_1_subcommunity_111
NZ_CP076705.1	community_1_subcommunity_112
NZ_CP080236.1	community_1_subcommunity_113
NZ_CP080256.1	community_1_subcommunity_114
NZ_CP080263.1	community_1_subcommunity_115
NZ_HG739084.1	community_1_subcommunity_116
NZ_KY706108.1	community_1_subcommunity_117
NZ_LR740760.1	community_1_subcommunity_118
NZ_LR882980.1	community_1_subcommunity_119
NZ_LR890335.1	community_1_subcommunity_120
NZ_LS992194.1	community_1_subcommunity_121
NZ_MH580300.1	community_1_subcommunity_122
NZ_MK295824.1	community_1_subcommunity_123
NZ_MK416151.1	community_1_subcommunity_124
NC_002305.1	community_1_subcommunity_125
NC_013365.1	community_1_subcommunity_126
NC_019360.1	community_1_subcommunity_127
NZ_CP016183.1	community_1_subcommunity_128
NZ_CP016184.1	community_1_subcommunity_129
NZ_CP024236.1	community_1_subcommunity_130
NZ_CP029690.1	community_1_subcommunity_131
NZ_CP030182.1	community_1_subcommunity_132
NZ_CP063342.1	community_1_subcommunity_133
NZ_CP063474.1	community_1_subcommunity_134
NZ_CP070915.1	community_1_subcommunity_135
NZ_CP078021.1	community_1_subcommunity_136
NZ_KP899806.1	community_1_subcommunity_137
NZ_KY320277.1	community_1_subcommunity_138
NZ_LR890350.1	community_1_subcommunity_139
NZ_MF072964.1	community_1_subcommunity_140
NZ_MN232190.1	community_1_subcommunity_141
CP017386.1	community_1_subcommunity_142
CP025516.1	community_1_subcommunity_143
CP031811.1	community_1_subcommunity_144
CP041937.1	community_1_subcommunity_145
CP052401.1	community_1_subcommunity_146
CP052564.1	community_1_subcommunity_147
CP056497.1	community_1_subcommunity_148
CP056522.1	community_1_subcommunity_149
CP073056.1	community_1_subcommunity_150
LR890282.1	community_1_subcommunity_151
LR890439.1	community_1_subcommunity_152
LR890599.1	community_1_subcommunity_153
LR890741.1	community_1_subcommunity_154
MK649827.1	community_1_subcommunity_155
MK649829.1	community_1_subcommunity_156
NC_015154.1	community_1_subcommunity_157
NZ_AP014952.1	community_1_subcommunity_158
NZ_AP019690.1	community_1_subcommunity_159
NZ_AP021930.1	community_1_subcommunity_160
NZ_AP021955.1	community_1_subcommunity_161
NZ_AP022140.1	community_1_subcommunity_162
NZ_CP012884.1	community_1_subcommunity_163
NZ_CP015132.1	community_1_subcommunity_164
NZ_CP018340.1	community_1_subcommunity_165
NZ_CP018955.1	community_1_subcommunity_166
NZ_CP021166.1	community_1_subcommunity_167
NZ_CP021541.1	community_1_subcommunity_168
NZ_CP022824.1	community_1_subcommunity_169
NZ_CP023488.1	community_1_subcommunity_170
NZ_CP023947.1	community_1_subcommunity_171
NZ_CP024543.1	community_1_subcommunity_172
NZ_CP025212.1	community_1_subcommunity_173
NZ_CP040862.1	community_1_subcommunity_174
NZ_CP041642.1	community_1_subcommunity_175
NZ_CP044529.1	community_1_subcommunity_176
NZ_CP049605.1	community_1_subcommunity_177
NZ_CP050841.1	community_1_subcommunity_178
NZ_CP054286.1	community_1_subcommunity_179
NZ_CP055317.1	community_1_subcommunity_180
NZ_CP056855.1	community_1_subcommunity_181
NZ_CP059310.1	community_1_subcommunity_182
NZ_CP060734.1	community_1_subcommunity_183
NZ_CP061381.1	community_1_subcommunity_184
NZ_CP061966.1	community_1_subcommunity_185
NZ_CP062141.1	community_1_subcommunity_186
NZ_CP063883.1	community_1_subcommunity_187
NZ_CP064175.1	community_1_subcommunity_188
NZ_CP067068.1	community_1_subcommunity_189
NZ_CP069964.1	community_1_subcommunity_190
NZ_CP069969.1	community_1_subcommunity_191
NZ_CP071081.1	community_1_subcommunity_192
NZ_CP072497.1	community_1_subcommunity_193
NZ_CP072907.1	community_1_subcommunity_194
NZ_CP072950.1	community_1_subcommunity_195
NZ_CP080351.1	community_1_subcommunity_196
NZ_LR130540.1	community_1_subcommunity_197
NZ_LR890324.1	community_1_subcommunity_198
NZ_LR890357.1	community_1_subcommunity_199
NZ_LR890423.1	community_1_subcommunity_200
NZ_LR890435.1	community_1_subcommunity_201
NZ_MG736312.1	community_1_subcommunity_202
NZ_MK262711.1	community_1_subcommunity_203
NZ_MN586817.1	community_1_subcommunity_204
NZ_MT269851.1	community_1_subcommunity_205
NZ_MT813035.1	community_1_subcommunity_206
NZ_MT813036.1	community_1_subcommunity_207
CP024507.1	community_1_subcommunity_208
CP031372.2	community_1_subcommunity_209
CP031736.1	community_1_subcommunity_210
CP034054.1	community_1_subcommunity_211
CP052327.1	community_1_subcommunity_212
CP052400.1	community_1_subcommunity_213
CP056795.1	community_1_subcommunity_214
LC521840.1	community_1_subcommunity_215
NC_016980.1	community_1_subcommunity_216
NZ_AP022143.1	community_1_subcommunity_217
NZ_CP014776.1	community_1_subcommunity_218
NZ_CP018339.1	community_1_subcommunity_219
NZ_CP021699.1	community_1_subcommunity_220
NZ_CP023723.1	community_1_subcommunity_221
NZ_CP025462.1	community_1_subcommunity_222
NZ_CP026172.1	community_1_subcommunity_223
NZ_CP026186.1	community_1_subcommunity_224
NZ_CP026398.1	community_1_subcommunity_225
NZ_CP027156.1	community_1_subcommunity_226
NZ_CP031582.1	community_1_subcommunity_227
NZ_CP031818.1	community_1_subcommunity_228
NZ_CP032208.1	community_1_subcommunity_229
NZ_CP032223.1	community_1_subcommunity_230
NZ_CP034681.1	community_1_subcommunity_231
NZ_CP036336.1	community_1_subcommunity_232
NZ_CP042868.1	community_1_subcommunity_233
NZ_CP048109.1	community_1_subcommunity_234
NZ_CP056276.1	community_1_subcommunity_235
NZ_CP057067.1	community_1_subcommunity_236
NZ_CP057314.1	community_1_subcommunity_237
NZ_CP057460.1	community_1_subcommunity_238
NZ_CP061949.1	community_1_subcommunity_239
NZ_CP061962.1	community_1_subcommunity_240
NZ_CP063404.1	community_1_subcommunity_241
NZ_CP064110.1	community_1_subcommunity_242
NZ_CP065842.1	community_1_subcommunity_243
NZ_CP069904.1	community_1_subcommunity_244
NZ_CP071280.1	community_1_subcommunity_245
NZ_CP071820.1	community_1_subcommunity_246
NZ_KY913897.1	community_1_subcommunity_247
NZ_LR890313.1	community_1_subcommunity_248
NZ_LR890543.1	community_1_subcommunity_249
NZ_MG288682.1	community_1_subcommunity_250
NZ_MK413719.1	community_1_subcommunity_251
NZ_MK413722.1	community_1_subcommunity_252
NZ_MW013145.1	community_1_subcommunity_253
CP014295.1	community_1_subcommunity_254
CP026552.1	community_1_subcommunity_255
CP042646.1	community_1_subcommunity_256
KR827394.1	community_1_subcommunity_257
NC_009139.1	community_1_subcommunity_258
NC_012885.1	community_1_subcommunity_259
NZ_AP014939.1	community_1_subcommunity_260
NZ_AP018687.1	community_1_subcommunity_261
NZ_AP019818.1	community_1_subcommunity_262
NZ_AP022377.1	community_1_subcommunity_263
NZ_CP010360.2	community_1_subcommunity_264
NZ_CP030077.1	community_1_subcommunity_265
NZ_CP040068.1	community_1_subcommunity_266
NZ_CP042536.1	community_1_subcommunity_267
NZ_CP043904.1	community_1_subcommunity_268
NZ_CP053782.1	community_1_subcommunity_269
NZ_CP063295.1	community_1_subcommunity_270
NZ_KM670336.1	community_1_subcommunity_271
NZ_KP276584.1	community_1_subcommunity_272
NZ_KX832927.1	community_1_subcommunity_273
NZ_LC556210.1	community_1_subcommunity_274
NZ_LN681228.1	community_1_subcommunity_275
NZ_MH594477.1	community_1_subcommunity_276
CP014296.1	community_1_subcommunity_277
CP037444.1	community_1_subcommunity_278
LR890228.1	community_1_subcommunity_279
NZ_AP022115.1	community_1_subcommunity_280
NZ_AP022433.1	community_1_subcommunity_281
NZ_AP022448.1	community_1_subcommunity_282
NZ_CP030308.1	community_1_subcommunity_283
NZ_CP035386.1	community_1_subcommunity_284
NZ_CP045678.1	community_1_subcommunity_285
NZ_CP062140.1	community_1_subcommunity_286
NZ_CP067384.1	community_1_subcommunity_287
NZ_KU318419.1	community_1_subcommunity_288
NZ_KU987453.1	community_1_subcommunity_289
CP047092.1	community_1_subcommunity_290
CP052321.1	community_1_subcommunity_291
LR890513.1	community_1_subcommunity_292
NZ_CP007734.1	community_1_subcommunity_293
NZ_CP026283.1	community_1_subcommunity_294
NZ_CP039793.1	community_1_subcommunity_295
NZ_CP070108.1	community_1_subcommunity_296
AP022555.1	community_1_subcommunity_297
NZ_CP007736.1	community_1_subcommunity_298
NZ_CP056687.1	community_1_subcommunity_299
NZ_LR134255.1	community_1_subcommunity_300
NZ_LR890738.1	community_1_subcommunity_301
CP025968.1	community_1_subcommunity_302
CP042642.1	community_1_subcommunity_303
CP056811.1	community_1_subcommunity_304
CP057156.1	community_1_subcommunity_305
CP057179.1	community_1_subcommunity_306
CP057187.1	community_1_subcommunity_307
CP057424.1	community_1_subcommunity_308
CP057883.1	community_1_subcommunity_309
CP063740.1	community_1_subcommunity_310
CP075038.1	community_1_subcommunity_311
NZ_CP010126.1	community_1_subcommunity_312
NZ_CP011417.1	community_1_subcommunity_313
NZ_CP012498.1	community_1_subcommunity_314
NZ_CP019190.1	community_1_subcommunity_315
NZ_CP019954.1	community_1_subcommunity_316
NZ_CP023367.1	community_1_subcommunity_317
NZ_CP023384.1	community_1_subcommunity_318
NZ_CP023471.1	community_1_subcommunity_319
NZ_CP024140.1	community_1_subcommunity_320
NZ_CP024286.1	community_1_subcommunity_321
NZ_CP025844.1	community_1_subcommunity_322
NZ_CP027311.1	community_1_subcommunity_323
NZ_CP028576.1	community_1_subcommunity_324
NZ_CP030782.1	community_1_subcommunity_325
NZ_CP035861.1	community_1_subcommunity_326
NZ_CP035868.1	community_1_subcommunity_327
NZ_CP039405.1	community_1_subcommunity_328
NZ_CP041421.1	community_1_subcommunity_329
NZ_CP042297.1	community_1_subcommunity_330
NZ_CP045828.1	community_1_subcommunity_331
NZ_CP050647.1	community_1_subcommunity_332
NZ_CP054369.1	community_1_subcommunity_333
NZ_CP065614.1	community_1_subcommunity_334
NZ_CP067309.1	community_1_subcommunity_335
NZ_CP077650.1	community_1_subcommunity_336
NZ_CP078136.1	community_1_subcommunity_337
NZ_LR740777.1	community_1_subcommunity_338
NZ_LR882059.1	community_1_subcommunity_339
NZ_LR890509.1	community_1_subcommunity_340
NZ_LS992186.1	community_1_subcommunity_341
NZ_CP045999.1	community_1_subcommunity_342
NZ_CP070288.2	community_1_subcommunity_343
NZ_MK295827.1	community_1_subcommunity_344
AP023310.1	community_1_subcommunity_345
CP026642.1	community_1_subcommunity_346
CP042639.1	community_1_subcommunity_347
CP057397.1	community_1_subcommunity_348
CP065860.1	community_1_subcommunity_349
NC_005211.1	community_1_subcommunity_350
NC_021819.1	community_1_subcommunity_351
NZ_AP024583.1	community_1_subcommunity_352
NZ_CP016764.1	community_1_subcommunity_353
NZ_CP026936.2	community_1_subcommunity_354
NZ_CP027678.1	community_1_subcommunity_355
NZ_CP029037.1	community_1_subcommunity_356
NZ_CP030080.1	community_1_subcommunity_357
NZ_CP031102.1	community_1_subcommunity_358
NZ_CP031547.1	community_1_subcommunity_359
NZ_CP035634.1	community_1_subcommunity_360
NZ_CP039271.1	community_1_subcommunity_361
NZ_CP039438.1	community_1_subcommunity_362
NZ_CP040888.1	community_1_subcommunity_363
NZ_CP043223.1	community_1_subcommunity_364
NZ_CP044051.1	community_1_subcommunity_365
NZ_CP069167.1	community_1_subcommunity_366
NZ_CP069802.1	community_1_subcommunity_367
NZ_CP073361.1	community_1_subcommunity_368
NZ_CP074702.1	community_1_subcommunity_369
NZ_CP080224.1	community_1_subcommunity_370
NZ_KX023262.1	community_1_subcommunity_371
NZ_LC511997.1	community_1_subcommunity_372
NZ_MF083142.1	community_1_subcommunity_373
NZ_MF174859.1	community_1_subcommunity_374
NZ_MF788071.1	community_1_subcommunity_375
NZ_MH077952.1	community_1_subcommunity_376
NZ_MK962305.1	community_1_subcommunity_377
NZ_MT062913.1	community_1_subcommunity_378
NZ_MT929285.1	community_1_subcommunity_379
NZ_MW244439.1	community_1_subcommunity_380
NZ_MW651977.1	community_1_subcommunity_381
MN476098.1	community_1_subcommunity_382
NZ_MN476096.1	community_1_subcommunity_383
CP043735.1	community_1_subcommunity_384
CP057830.1	community_1_subcommunity_385
NZ_CP008715.1	community_1_subcommunity_386
NZ_CP038792.1	community_1_subcommunity_387
CP049613.1	community_1_subcommunity_388
CP049876.1	community_1_subcommunity_389
CP056349.1	community_1_subcommunity_390
CP056802.1	community_1_subcommunity_391
CP056844.1	community_1_subcommunity_392
CP057452.1	community_1_subcommunity_393
CP057526.1	community_1_subcommunity_394
CP057774.1	community_1_subcommunity_395
CP057944.1	community_1_subcommunity_396
NZ_AP014805.1	community_1_subcommunity_397
NZ_AP021945.1	community_1_subcommunity_398
NZ_AP022066.1	community_1_subcommunity_399
NZ_CP010233.1	community_1_subcommunity_400
NZ_CP015161.1	community_1_subcommunity_401
NZ_CP018638.1	community_1_subcommunity_402
NZ_CP019248.1	community_1_subcommunity_403
NZ_CP030003.1	community_1_subcommunity_404
NZ_CP030234.1	community_1_subcommunity_405
NZ_CP035834.1	community_1_subcommunity_406
NZ_CP042886.1	community_1_subcommunity_407
NZ_CP042944.1	community_1_subcommunity_408
NZ_CP046284.1	community_1_subcommunity_409
NZ_CP054216.1	community_1_subcommunity_410
NZ_CP057562.1	community_1_subcommunity_411
NZ_CP057682.1	community_1_subcommunity_412
NZ_CP066034.1	community_1_subcommunity_413
NZ_CP068153.1	community_1_subcommunity_414
NZ_CP075629.1	community_1_subcommunity_415
NZ_EU418926.1	community_1_subcommunity_416
NZ_LR883001.1	community_1_subcommunity_417
NZ_MF344575.1	community_1_subcommunity_418
NZ_MG948333.1	community_1_subcommunity_419
AP024117.1	community_1_subcommunity_420
CP027379.1	community_1_subcommunity_421
CP027673.1	community_1_subcommunity_422
CP042951.1	community_1_subcommunity_423
CP063724.1	community_1_subcommunity_424
CP063731.1	community_1_subcommunity_425
CP070395.1	community_1_subcommunity_426
NZ_CP023144.1	community_1_subcommunity_427
NZ_CP027324.1	community_1_subcommunity_428
NZ_CP027370.1	community_1_subcommunity_429
NZ_CP027453.1	community_1_subcommunity_430
NZ_CP027463.1	community_1_subcommunity_431
NZ_CP028120.1	community_1_subcommunity_432
NZ_CP028611.1	community_1_subcommunity_433
NZ_CP029742.1	community_1_subcommunity_434
NZ_CP032880.1	community_1_subcommunity_435
NZ_CP033633.1	community_1_subcommunity_436
NZ_CP035852.1	community_1_subcommunity_437
NZ_CP035862.1	community_1_subcommunity_438
NZ_CP035877.1	community_1_subcommunity_439
NZ_CP053235.1	community_1_subcommunity_440
NZ_CP053733.1	community_1_subcommunity_441
NZ_CP058225.1	community_1_subcommunity_442
NZ_CP061760.1	community_1_subcommunity_443
NZ_CP063494.1	community_1_subcommunity_444
NZ_CP075634.1	community_1_subcommunity_445
NZ_CP075666.1	community_1_subcommunity_446
NZ_CP075699.1	community_1_subcommunity_447
NZ_CP080167.1	community_1_subcommunity_448
NZ_CP080261.1	community_1_subcommunity_449
NZ_LR883004.1	community_1_subcommunity_450
NZ_LT985320.1	community_1_subcommunity_451
NZ_MG271839.1	community_1_subcommunity_452
NZ_MG825371.1	community_1_subcommunity_453
NZ_MN335639.1	community_1_subcommunity_454
NZ_MN335640.1	community_1_subcommunity_455
CP019690.1	community_1_subcommunity_456
CP057948.1	community_1_subcommunity_457
NZ_CP015913.1	community_1_subcommunity_458
NZ_CP024142.1	community_1_subcommunity_459
NZ_CP028601.1	community_1_subcommunity_460
NZ_CP042249.1	community_1_subcommunity_461
NZ_CP053083.1	community_1_subcommunity_462
NZ_CP059122.1	community_1_subcommunity_463
NZ_CP063496.1	community_1_subcommunity_464
NZ_KY565557.1	community_1_subcommunity_465
NZ_LS992189.1	community_1_subcommunity_466
NZ_LT795506.1	community_1_subcommunity_467
NZ_MF521836.1	community_1_subcommunity_468
NZ_MT536763.1	community_1_subcommunity_469
NZ_MT773670.1	community_1_subcommunity_470
NZ_MT773671.1	community_1_subcommunity_471
CP044023.1	community_1_subcommunity_472
NZ_CP038182.1	community_1_subcommunity_473
NZ_CP072977.1	community_1_subcommunity_474
NZ_LR882494.1	community_1_subcommunity_475
AP024133.2	community_1_subcommunity_476
CP012114.1	community_1_subcommunity_477
CP025888.1	community_1_subcommunity_478
CP034066.1	community_1_subcommunity_479
CP056250.1	community_1_subcommunity_480
CP056300.1	community_1_subcommunity_481
CP056788.1	community_1_subcommunity_482
CP057127.1	community_1_subcommunity_483
CP057251.1	community_1_subcommunity_484
CP057560.1	community_1_subcommunity_485
CP058914.1	community_1_subcommunity_486
CP059946.1	community_1_subcommunity_487
MF554642.1	community_1_subcommunity_488
NC_011917.1	community_1_subcommunity_489
NZ_AP022089.1	community_1_subcommunity_490
NZ_AP022542.1	community_1_subcommunity_491
NZ_CP014490.1	community_1_subcommunity_492
NZ_CP015915.1	community_1_subcommunity_493
NZ_CP017847.1	community_1_subcommunity_494
NZ_CP019002.1	community_1_subcommunity_495
NZ_CP019283.1	community_1_subcommunity_496
NZ_CP019354.1	community_1_subcommunity_497
NZ_CP020118.1	community_1_subcommunity_498
NZ_CP023851.1	community_1_subcommunity_499
NZ_CP027358.1	community_1_subcommunity_500
NZ_CP027369.1	community_1_subcommunity_501
NZ_CP028430.1	community_1_subcommunity_502
NZ_CP028433.1	community_1_subcommunity_503
NZ_CP029421.1	community_1_subcommunity_504
NZ_CP031136.1	community_1_subcommunity_505
NZ_CP031294.1	community_1_subcommunity_506
NZ_CP033097.1	community_1_subcommunity_507
NZ_CP034165.1	community_1_subcommunity_508
NZ_CP035843.1	community_1_subcommunity_509
NZ_CP041423.1	community_1_subcommunity_510
NZ_CP041426.1	community_1_subcommunity_511
NZ_CP041451.1	community_1_subcommunity_512
NZ_CP045191.1	community_1_subcommunity_513
NZ_CP047004.1	community_1_subcommunity_514
NZ_CP048306.1	community_1_subcommunity_515
NZ_CP050499.1	community_1_subcommunity_516
NZ_CP053233.1	community_1_subcommunity_517
NZ_CP057658.1	community_1_subcommunity_518
NZ_CP058309.1	community_1_subcommunity_519
NZ_CP058356.1	community_1_subcommunity_520
NZ_CP061531.1	community_1_subcommunity_521
NZ_CP061757.1	community_1_subcommunity_522
NZ_CP062814.1	community_1_subcommunity_523
NZ_CP062852.1	community_1_subcommunity_524
NZ_CP062914.1	community_1_subcommunity_525
NZ_CP070074.1	community_1_subcommunity_526
NZ_CP070135.1	community_1_subcommunity_527
NZ_CP070908.1	community_1_subcommunity_528
NZ_CP074122.1	community_1_subcommunity_529
NZ_CP075058.1	community_1_subcommunity_530
NZ_CP080149.1	community_1_subcommunity_531
NZ_KP792123.1	community_1_subcommunity_532
NZ_MG825385.1	community_1_subcommunity_533
NZ_MG904996.1	community_1_subcommunity_534
NZ_MH257954.1	community_1_subcommunity_535
NZ_MT773672.1	community_1_subcommunity_536
NZ_MT773673.1	community_1_subcommunity_537
NZ_MT773674.1	community_1_subcommunity_538
NZ_AP018489.1	community_1_subcommunity_539
NZ_CP038375.1	community_1_subcommunity_540
NZ_CP027549.1	community_1_subcommunity_541
NC_014234.1	community_1_subcommunity_542
AP024496.1	community_1_subcommunity_543
NZ_CP022697.1	community_1_subcommunity_544
NZ_CP048651.1	community_1_subcommunity_545
NZ_CP056708.1	community_1_subcommunity_546
NZ_MH909344.1	community_1_subcommunity_547
NZ_AP022432.1	community_1_subcommunity_548
NZ_CP053104.1	community_1_subcommunity_549
NZ_CP058188.1	community_1_subcommunity_550
NZ_LT991956.1	community_1_subcommunity_551
NZ_CP041420.1	community_1_subcommunity_552
CP027320.1	community_1_subcommunity_553
CP042641.1	community_1_subcommunity_554
CP047090.1	community_1_subcommunity_555
CP049847.1	community_1_subcommunity_556
CP054337.1	community_1_subcommunity_557
CP056447.1	community_1_subcommunity_558
CP056619.1	community_1_subcommunity_559
CP056621.1	community_1_subcommunity_560
CP056895.1	community_1_subcommunity_561
CP057381.1	community_1_subcommunity_562
CP057446.1	community_1_subcommunity_563
CP057476.1	community_1_subcommunity_564
CP057623.1	community_1_subcommunity_565
CP057689.1	community_1_subcommunity_566
CP057799.1	community_1_subcommunity_567
CP057803.1	community_1_subcommunity_568
CP057875.1	community_1_subcommunity_569
CP057937.1	community_1_subcommunity_570
CP057976.1	community_1_subcommunity_571
CP063718.1	community_1_subcommunity_572
CP063732.1	community_1_subcommunity_573
CP077708.1	community_1_subcommunity_574
LT905089.1	community_1_subcommunity_575
NC_013370.1	community_1_subcommunity_576
NC_017653.1	community_1_subcommunity_577
NZ_AP018798.1	community_1_subcommunity_578
NZ_AP018809.1	community_1_subcommunity_579
NZ_AP022163.1	community_1_subcommunity_580
NZ_CP009051.1	community_1_subcommunity_581
NZ_CP009168.1	community_1_subcommunity_582
NZ_CP012497.1	community_1_subcommunity_583
NZ_CP013030.1	community_1_subcommunity_584
NZ_CP015837.1	community_1_subcommunity_585
NZ_CP015997.1	community_1_subcommunity_586
NZ_CP016549.1	community_1_subcommunity_587
NZ_CP019188.1	community_1_subcommunity_588
NZ_CP020522.1	community_1_subcommunity_589
NZ_CP020936.1	community_1_subcommunity_590
